e, e_dot, e_int, stamp, 
0.2892527896457411, -0.03723476446159779, 0.05898887726673007, 11709224000000, 
0.28463827434390776, -0.03506292009027264, 0.05793654762404256, 11709292000000, 
0.2795911313240014, -0.03220552773913236, 0.056898813020910016, 11709326000000, 
0.27332455382869236, -0.03771240171738466, 0.05583693063310677, 11709360000000, 
0.2686927033612565, -0.03632809320914957, 0.05477389256759668, 11709394000000, 
0.2623873794007787, -0.03645724809304548, 0.05362697577271517, 11709428000000, 
0.2576083943778307, -0.036947696611419424, 0.05257923180932439, 11709462000000, 
0.25259857729124713, -0.03262934036510531, 0.05150629007132377, 11709496000000, 
0.24797370450337564, -0.032115632914850124, 0.050545378411496894, 11709530000000, 
0.2450213571556521, -0.025257400451983436, 0.04970624259668499, 11709564000000, 
0.2402705644057379, -0.025677133658792428, 0.04888437507098438, 11709632000000, 
0.23598127756725829, -0.030133598627979374, 0.04808487994190989, 11709666000000, 
0.23234749403699562, -0.026410234562474304, 0.04723995573399945, 11709700000000, 
0.22762035885453935, -0.027869729042396447, 0.046396608697252886, 11709734000000, 
0.223701926435941, -0.028818558670182053, 0.0455779852884984, 11709768000000, 
0.22075782044439052, -0.022875128033829444, 0.044805340382324726, 11709802000000, 
0.21765127312607468, -0.020168844366221055, 0.04414073466709375, 11709836000000, 
0.21451303995128557, -0.020815934977016504, 0.043528142234783386, 11709870000000, 
0.21156744567939345, -0.02027942482227078, 0.04291545058378358, 11709904000000, 
0.20913240095370167, -0.01793546332527966, 0.04234752577229205, 11709938000000, 
0.2059393082863621, -0.01876045797677121, 0.041775943661297145, 11709972000000, 
0.2030590314479781, -0.020244565019078564, 0.041208716045869453, 11710006000000, 
0.20196887312526446, -0.013234783870325431, 0.040731147523973645, 11710040000000, 
-0.13511105173562754, -1.1272336106120189, 0.017994456855841, 11710074000000, 
-0.1419713999465202, -1.146467576905949, -0.005007571903792219, 11710108000000, 
-0.14725123585377142, -0.04046728039381294, -0.02828891250239461, 11710142000000, 
-0.15502042344350464, -0.043496744989948155, -0.029616203949586417, 11710176000000, 
-0.16290288081653337, -0.05217214987587315, -0.031011636007587294, 11710210000000, 
-0.1709704945242465, -0.05316690360247289, -0.0325929199189523, 11710244000000, 
