odom_x, odom_y, imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-1.9566438309493248, 0.29319433591747296, -0.05051463157624964, -0.05238616677470357, -0.04852065280087528, -0.02888184484232552, 0.22475630238720204, -0.12850293644967037, -2.016323130253176, 0.2746122050750033, 11714724000000, 
-1.9641095178122934, 0.29376705431665495, -0.067387993186991, -0.1134439558281751, -0.06014363787176352, -0.029812725241581763, 0.2276820642286273, -0.13094015702372264, -2.026319168196042, 0.2751210101616244, 11714768000000, 
-1.9715726154435036, 0.2943688475878262, -0.05122960109020973, -0.04075535806925343, -0.05464441003010413, -0.026793792624460414, 0.2238785508491914, -0.11968003420974971, -2.029917301374921, 0.27532423202615425, 11714784000000, 
-1.9790331481654704, 0.29499819685044704, -0.03523792878728195, -0.07140529248406823, -0.04262011630919116, -0.026512514793010457, 0.22369593564664964, -0.1185203241014162, -2.0445377031499126, 0.2761802493429024, 11714849000000, 
-1.9864912627935534, 0.2956551379091203, -0.03775685152552925, -0.07397930422290734, -0.03958953060694758, -0.02664759129658787, 0.2241402437162877, -0.11888802677629755, -2.056675847881081, 0.276985260694883, 11714903000000, 
-1.993947161034279, 0.29633975966612713, -0.05854509605627222, -0.0007936381204106998, -0.05132512573864651, -0.025150535031139832, 0.2193492059937101, -0.11465979517546569, -2.0641981168095636, 0.27753243394818694, 11714937000000, 
-2.0014000840137394, 0.29705368008342176, -0.043807043122529934, -0.009635818093603539, -0.04667620442235517, -0.023663437382701036, 0.21832111527028716, -0.10838822142056709, -2.0709911179727643, 0.2780529426561501, 11714968000000, 
-2.0088494532452006, 0.2977942783012276, -0.06013095547210196, -0.01697060202278229, -0.05497659022503925, -0.02080412992182118, 0.21844685614365675, -0.09523657281723388, -2.080190571296063, 0.278788920187744, 11715010000000, 
-2.0162962566126876, 0.2985580974781019, -0.08550632052443566, -0.0794367415244587, -0.07379797494156547, -0.022706509638924538, 0.22173165258595132, -0.1024053596954213, -2.0901425631384796, 0.2796299844006109, 11715055000000, 
-2.0237410945293917, 0.2993458152189139, -0.06220983259752968, -0.04467910899867266, -0.06662097375221392, -0.02391921407534997, 0.22096398299205625, -0.10824937961138163, -2.09924952604236, 0.28044080325505294, 11715096000000, 
-2.0311831575515744, 0.3001603205240672, -0.0813256363166275, 0.028983838196229694, -0.07572284486091492, -0.020812819898094373, 0.2162543251281177, -0.09624232896042206, -2.106903402176119, 0.2811538557770997, 11715131000000, 
-2.0386221390711747, 0.3009999988406747, -0.039199178149672095, 0.008858573065067953, -0.05313627050093714, -0.019646109244071647, 0.21606226223926772, -0.09092799936675434, -2.1149201883262996, 0.2819298940697412, 11715168000000, 
-2.0460583402477353, 0.3018637389851898, -0.08147782197234077, 0.04164175047695057, -0.07064736588575855, -0.018531229445935812, 0.21427482269568518, -0.086483466479186, -2.123753095915524, 0.2828158493823882, 11715209000000, 
-2.053491703416794, 0.3027517443659346, -0.04085845800812597, -0.10821789875603227, -0.05217998434738136, -0.022896136953472368, 0.22165232522885225, -0.10329752656477885, -2.1312027466192207, 0.28359215230299695, 11715243000000, 
-2.0609220865117406, 0.3036638708806198, -0.06359436633168171, -0.0004924205684552624, -0.059240561704679326, -0.020514856854639833, 0.21882470784415467, -0.09375018505337324, -2.1380153055259523, 0.2843226991786836, 11715274000000, 
-2.0683495206135047, 0.30459939847645795, -0.04590304043954831, -0.040786433576432274, -0.05098385556780165, -0.021168245102647403, 0.2202198812524051, -0.09612322458018861, -2.143938696980026, 0.2849768030972446, 11715301000000, 
-2.0757739959340675, 0.3055585531841867, -0.032183063705894, -0.06727946351265898, -0.03934861926152246, -0.02241942714045401, 0.2223707818242952, -0.10082002211139669, -2.14990320946238, 0.28565112242860835, 11715328000000, 
-2.083195274762625, 0.30654116765951855, -0.05317621462883144, -0.011378690316085342, -0.047899661355624096, -0.02062057745238835, 0.22010637746859626, -0.09368459782738643, -2.1545243476798195, 0.2861855523543747, 11715349000000, 
-2.090613327733926, 0.30754695462764026, -0.049049227181809554, 0.03555595908336171, -0.048619958823645434, -0.0181849710114841, 0.21660337631760368, -0.08395515952078066, -2.1599572606093655, 0.28682495916434914, 11715374000000, 
-2.0980282200286173, 0.3085752150264518, -0.07974903754970786, -0.015639368217323864, -0.06784200695217837, -0.019002715257773244, 0.2179234018138032, -0.08719905755697328, -2.1668939677125976, 0.2876574938039585, 11715406000000, 
-2.105439877997674, 0.30962623883138674, -0.034909157537556246, -0.09089190856584647, -0.047470850289756214, -0.021829965630732077, 0.22266385355757143, -0.09804000641302013, -2.170424622243075, 0.2880913412613243, 11715422000000, 
-2.112848223857049, 0.310699772952227, -0.05603508568003066, 0.03342318062122089, -0.05277908657127572, -0.018474830208269385, 0.21756646036045518, -0.08491580079788513, -2.1754556704255683, 0.28871642939839925, 11715445000000, 
